#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Fri Mar 21 14:26:41 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Processor_map.ncd
#OUTPUT FILE:      Processor_pad.csv
#PART TYPE:        xc2s200
#SPEED GRADE:      -6
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,,
P2,,,TMS,,,,,,,,,,,,,
P3,,IOB,IO,UNUSED,,7,,,,,,,,,,
P4,PC_EN,IOB,IO_VREF_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,,,NO,NONE,
P5,PC_DIS,IOB,IO,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,,,NO,NONE,
P6,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P7,IF_INSTR2<0>,IOB,IO,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,,,NO,NONE,
P8,,IOB,IO,UNUSED,,7,,,,,,,,,,
P9,PC_LR_GOTO,IOB,IO_VREF_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,,,NO,NONE,
P10,,IOB,IO,UNUSED,,7,,,,,,,,,,
P11,,,GND,,,,,,,,,,,,,
P12,,,VCCO,,,0,,,,,3.30,,,,,
P13,,,VCCINT,,,,,,,,2.5,,,,,
P14,,IOB,IO,UNUSED,,7,,,,,,,,,,
P15,PC_OUT<7>,IOB,IO,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,,,NO,NONE,
P16,IO_INPUT_PORT<0>,IOB,IO,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
P17,,IOB,IO,UNUSED,,7,,,,,,,,,,
P18,IO_INPUT_PORT<1>,IOB,IO,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
P19,,,GND,,,,,,,,,,,,,
P20,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P21,IO_INPUT_PORT<2>,IOB,IO,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
P22,,IOB,IO,UNUSED,,7,,,,,,,,,,
P23,IO_INPUT_PORT<3>,IOB,IO,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
P24,PC_BR,IOB,IO_IRDY,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,,,NO,NONE,
P25,,,GND,,,,,,,,,,,,,
P26,,,VCCO,,,0,,,,,3.30,,,,,
P27,IO_INPUT_PORT<4>,IOB,IO_TRDY,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,NO,NONE,
P28,,,VCCINT,,,,,,,,2.5,,,,,
P29,EX_MEM_WR_EN,IOB,IO,OUTPUT,LVTTL*,6,12,SLOW,NONE**,,,,,NO,NONE,
P30,IO_INPUT_PORT<5>,IOB,IO,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,NO,NONE,
P31,WB_REG<1>,IOB,IO_VREF_6,OUTPUT,LVTTL*,6,12,SLOW,NONE**,,,,,NO,NONE,
P32,,,GND,,,,,,,,,,,,,
P33,IO_INPUT_PORT<6>,IOB,IO,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,NO,NONE,
P34,PC_OUT<5>,IOB,IO,OUTPUT,LVTTL*,6,12,SLOW,NONE**,,,,,NO,NONE,
